scope,symbol,alignment_state,count,1h.valid,1h.mean_return_bps,1h.median_return_bps,1h.positive_return_rate,1h.mfe_long_median_bps,1h.mae_long_median_bps,1h.long_stop_hit_rate,1h.long_take_hit_rate,1h.short_stop_hit_rate,1h.short_take_hit_rate,2h.valid,2h.mean_return_bps,2h.median_return_bps,2h.positive_return_rate,2h.mfe_long_median_bps,2h.mae_long_median_bps,2h.long_stop_hit_rate,2h.long_take_hit_rate,2h.short_stop_hit_rate,2h.short_take_hit_rate,4h.valid,4h.mean_return_bps,4h.median_return_bps,4h.positive_return_rate,4h.mfe_long_median_bps,4h.mae_long_median_bps,4h.long_stop_hit_rate,4h.long_take_hit_rate,4h.short_stop_hit_rate,4h.short_take_hit_rate
SYMBOL,BTCUSDT,BEAR_MATRIX__BULL_TOPOLOGY,669,669,-0.27132708071966727,1.2218071956504595,0.523168908819133,18.371329822610694,-21.784817980091688,0.21524663677130046,0.15844544095665172,0.15844544095665172,0.21524663677130046,669,0.6983269978768453,1.5341457000084269,0.5276532137518685,26.046761202622726,-29.394473838918465,0.33482810164424515,0.26307922272047835,0.26307922272047835,0.33482810164424515,669,-0.8435008048049414,0.11704472111739861,0.5007473841554559,39.380541663647236,-47.381015687316676,0.47832585949177875,0.3991031390134529,0.3991031390134529,0.47832585949177875
SYMBOL,BTCUSDT,BEAR_MATRIX__NEUTRAL_TOPOLOGY,694,694,-0.5111208385639089,-0.40040603519253537,0.49279538904899134,20.422579035841437,-23.39032847708422,0.20893371757925072,0.1829971181556196,0.1829971181556196,0.20893371757925072,694,-2.346305641790389,-2.886815747460414,0.4769452449567723,30.212378961796958,-35.09354132328335,0.35014409221902015,0.29250720461095103,0.29250720461095103,0.35014409221902015,694,-3.403697613055166,-2.150969760645882,0.484149855907781,44.419118885131724,-51.24090025255934,0.5129682997118156,0.46397694524495675,0.46397694524495675,0.5129682997118156
SYMBOL,BTCUSDT,BULL_MATRIX__BEAR_TOPOLOGY,74,74,-2.139003955456798,-4.396589863515654,0.40540540540540543,17.460074512481995,-23.119525125838702,0.16216216216216217,0.13513513513513514,0.13513513513513514,0.16216216216216217,74,1.6936418049188038,-5.037328097997618,0.4594594594594595,25.799420297639706,-31.746329726966003,0.32432432432432434,0.22972972972972974,0.22972972972972974,0.32432432432432434,74,-11.809522442700194,-8.42963360683402,0.43243243243243246,37.517717977625374,-48.49828606816264,0.4864864864864865,0.36486486486486486,0.36486486486486486,0.4864864864864865
SYMBOL,BTCUSDT,BULL_MATRIX__BULL_TOPOLOGY,760,760,0.46994005423875723,-0.25534145398242725,0.4986842105263158,17.110378771284516,-16.262000851599566,0.10921052631578948,0.11973684210526316,0.11973684210526316,0.10921052631578948,760,-0.6320837488566536,-0.5540064400405553,0.4934210526315789,25.73451697571505,-24.21631918961109,0.22894736842105262,0.2355263157894737,0.2355263157894737,0.22894736842105262,760,0.6331589069353799,1.3997366346085727,0.5118421052631579,37.77683531632215,-33.97136181327254,0.37105263157894736,0.3881578947368421,0.3881578947368421,0.37105263157894736
SYMBOL,BTCUSDT,BULL_MATRIX__NEUTRAL_TOPOLOGY,820,819,0.06418876184493472,-0.5016514895095359,0.4878048780487805,20.27109537183991,-19.986951194284064,0.16361416361416362,0.15995115995115994,0.15995115995115994,0.16361416361416362,819,1.3658750129282256,0.6126811756179684,0.5036585365853659,28.351352326434487,-27.41139021126937,0.27594627594627597,0.29914529914529914,0.29914529914529914,0.27594627594627597,819,2.5171747815770926,0.5978084596258704,0.5024390243902439,42.522941708673656,-41.50291608843837,0.4163614163614164,0.43101343101343104,0.43101343101343104,0.4163614163614164
SYMBOL,BTCUSDT,NEUTRAL_MATRIX__BULL_TOPOLOGY,9,9,-11.221573881718097,-24.810006801313513,0.3333333333333333,28.801196380121574,-44.366369320206765,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4444444444444444,9,-11.578065050581456,-14.235336939816268,0.3333333333333333,28.801196380121574,-64.5864849927913,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.5555555555555556,9,-22.73874839655293,-48.32217145356643,0.3333333333333333,42.60285620393933,-90.07271195874634,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.7777777777777778
SYMBOL,BTCUSDT,NEUTRAL_MATRIX__NEUTRAL_TOPOLOGY,30,30,5.771101893176976,4.1591125438178445,0.5666666666666667,33.31151185753778,-23.851042655606,0.3,0.36666666666666664,0.36666666666666664,0.3,30,11.106104742763266,9.449874403998916,0.5,71.11520213105571,-38.60038606096295,0.36666666666666664,0.5666666666666667,0.5666666666666667,0.36666666666666664,30,20.161119744410886,23.341437644488483,0.7,95.51085199779874,-41.49663069032861,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.4666666666666667
SYMBOL,ETHUSDT,BEAR_MATRIX__BEAR_TOPOLOGY,167,167,-1.1190809677593485,-1.1675491392248993,0.47904191616766467,24.107186122013236,-29.311281931826414,0.2754491017964072,0.2215568862275449,0.2215568862275449,0.2754491017964072,167,6.053687713191983,2.8753376164880606,0.5508982035928144,39.635142445488825,-37.72698114286155,0.41317365269461076,0.38323353293413176,0.38323353293413176,0.41317365269461076,167,8.45092388291558,6.520866773676026,0.5269461077844312,56.928688123230046,-53.3274892249247,0.5449101796407185,0.5329341317365269,0.5329341317365269,0.5449101796407185
SYMBOL,ETHUSDT,BEAR_MATRIX__BULL_TOPOLOGY,313,313,8.29411226086122,6.971761531746612,0.5559105431309904,26.94111718416936,-22.641743060437534,0.23322683706070288,0.24920127795527156,0.24920127795527156,0.23322683706070288,313,6.716380832508846,2.740211802252368,0.5175718849840255,38.15574720942516,-35.11156416355243,0.3769968051118211,0.3769968051118211,0.3769968051118211,0.3769968051118211,313,4.611022652596738,3.6479145153323067,0.5239616613418531,51.11194741771019,-53.384851048262625,0.5239616613418531,0.5079872204472844,0.5079872204472844,0.5239616613418531
SYMBOL,ETHUSDT,BEAR_MATRIX__NEUTRAL_TOPOLOGY,1048,1048,-2.654928384027064,-1.1776628913751086,0.48950381679389315,25.366007979436,-29.406774757339548,0.29961832061068705,0.22805343511450382,0.22805343511450382,0.29961832061068705,1048,-4.176237481973998,0.6553554520005722,0.5047709923664122,35.5664679452361,-43.341605020070226,0.44179389312977096,0.3606870229007634,0.3606870229007634,0.44179389312977096,1048,-4.749585424179371,0.8990760417793009,0.5019083969465649,53.094691356522226,-64.02500636088936,0.5925572519083969,0.5229007633587787,0.5229007633587787,0.5925572519083969
