entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,terminal_loss_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_events,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_events,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_events,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_events,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_events,t100_s100_resolved_target_win_rate
1h,DAILY_4H_1H,240,168,122.39006122251885,68.17926210274993,30.40571596263586,143.20502228861608,338.4140691575549,-95.40898680432576,-60.69409872895226,-196.82603320400895,16.497276179527535,2.1661127132388547,0.5178571428571429,0.48214285714285715,110.69047619047619,105.0,0.8273809523809523,16.0,0.6071428571428571,42.0,0.35714285714285715,55.5,0.5238095238095238,0.4583333333333333,165,0.5333333333333333,0.30357142857142855,0.6428571428571429,159,0.32075471698113206,0.43452380952380953,0.4523809523809524,149,0.4899328859060403,0.25,0.5476190476190477,134,0.31343283582089554,0.3392857142857143,0.2916666666666667,106,0.5377358490566038
1h,DAILY_4H_1H_15M,15,162,30.071018736648917,19.193376653312555,7.038379280174811,37.27237550512797,70.31467671009686,-23.797551148586503,-17.444214031649416,-54.54107287230037,4.4692361097570386,-0.6940158882506875,0.4876543209876543,0.5061728395061729,7.580246913580247,7.0,0.41358024691358025,6.0,0.1728395061728395,6.0,0.04938271604938271,10.5,0.3888888888888889,0.2654320987654321,106,0.5943396226415094,0.15432098765432098,0.30864197530864196,75,0.3333333333333333,0.1728395061728395,0.11728395061728394,47,0.5957446808510638,0.04938271604938271,0.12345679012345678,28,0.2857142857142857,0.04938271604938271,0.018518518518518517,11,0.7272727272727273
1h,DAILY_4H_1H_15M,30,162,41.42256807699619,25.2688902376319,10.942987229117795,49.97169948427249,100.38867365184315,-30.916796498449678,-25.14959710948117,-65.0301545066172,5.717191584828839,-2.0848576845372557,0.48148148148148145,0.5185185185185185,13.623456790123457,12.0,0.5185185185185185,7.0,0.25308641975308643,12.0,0.10493827160493827,16.0,0.4506172839506173,0.3888888888888889,136,0.5367647058823529,0.2037037037037037,0.47530864197530864,110,0.3,0.2345679012345679,0.16049382716049382,64,0.59375,0.09259259259259259,0.17901234567901234,44,0.3409090909090909,0.10493827160493827,0.024691358024691357,21,0.8095238095238095
1h,DAILY_4H_1H_15M,60,162,60.460207958357586,32.79915738045092,13.360367560120157,77.27414004546796,139.1513492254271,-42.76292054907816,-33.805367277717764,-82.18097872628549,14.439489005964482,-0.39377353175440444,0.49382716049382713,0.5,25.617283950617285,24.5,0.6049382716049383,9.0,0.35802469135802467,17.0,0.1728395061728395,26.5,0.47530864197530864,0.41975308641975306,145,0.5310344827586206,0.2345679012345679,0.5555555555555556,128,0.296875,0.32098765432098764,0.2716049382716049,96,0.5416666666666666,0.14814814814814814,0.30246913580246915,73,0.3287671232876712,0.1728395061728395,0.07407407407407407,40,0.7
1h,DAILY_4H_1H_15M,120,162,89.11774688044963,42.68314004782225,18.439275551601632,100.99565285604129,244.76745025078017,-60.365459205007355,-46.568146104402075,-122.56252610101936,19.250403924622766,-5.298090108818987,0.4506172839506173,0.5432098765432098,51.30246913580247,42.5,0.7098765432098766,11.0,0.4444444444444444,22.5,0.25308641975308643,36.0,0.5,0.4444444444444444,153,0.5294117647058824,0.2654320987654321,0.6049382716049383,141,0.3049645390070922,0.37037037037037035,0.37037037037037035,120,0.5,0.2037037037037037,0.4382716049382716,104,0.3173076923076923,0.25308641975308643,0.15432098765432098,66,0.6212121212121212
1h,DAILY_4H_1H_15M,240,162,124.15235295680516,68.17926210274993,31.191683653090664,148.14005050102108,342.42273485603187,-92.27194247517245,-60.20755300677139,-194.74161146161006,21.142216594567746,2.5529632458243245,0.5246913580246914,0.47530864197530864,111.41975308641975,105.0,0.8333333333333334,16.0,0.6111111111111112,43.0,0.35185185185185186,62.0,0.5308641975308642,0.4506172839506173,159,0.5408805031446541,0.30246913580246915,0.6419753086419753,153,0.3202614379084967,0.4382716049382716,0.4444444444444444,143,0.4965034965034965,0.24691358024691357,0.5432098765432098,128,0.3125,0.3333333333333333,0.2839506172839506,100,0.54
1h,DAILY_ONLY,15,365,25.795681426653047,15.04131601995251,6.167509559640294,32.24400871459699,65.04985889754883,-24.9065686559428,-17.638758231420802,-56.55368434804054,0.8892701909877478,0.0,0.4931506849315068,0.4986301369863014,7.054794520547945,6.0,0.33424657534246577,6.0,0.16712328767123288,8.0,0.03287671232876712,10.5,0.3013698630136986,0.31232876712328766,224,0.49107142857142855,0.14794520547945206,0.34794520547945207,181,0.2983425414364641,0.16164383561643836,0.13150684931506848,107,0.5514018691588785,0.03287671232876712,0.136986301369863,62,0.1935483870967742,0.03287671232876712,0.019178082191780823,19,0.631578947368421
1h,DAILY_ONLY,30,365,35.01112290436452,21.477368063600455,8.649628271926169,46.88752031868803,82.48875407040403,-32.06713728588862,-23.825731790334537,-72.19220522029612,1.551190283371569,-1.983635011157947,0.4602739726027397,0.536986301369863,13.772602739726027,13.0,0.4410958904109589,7.0,0.2356164383561644,10.0,0.07123287671232877,16.5,0.3780821917808219,0.4,284,0.4859154929577465,0.18904109589041096,0.4602739726027397,237,0.2911392405063291,0.2136986301369863,0.20273972602739726,152,0.5131578947368421,0.06301369863013699,0.2136986301369863,101,0.22772277227722773,0.07123287671232877,0.038356164383561646,40,0.65
1h,DAILY_ONLY,60,365,50.857604471159064,28.122295933081798,11.51600692884891,66.93143268010404,120.65232787402329,-45.50822041883833,-30.66209333749015,-103.15944006708966,3.915496554968601,-2.365715688885661,0.4712328767123288,0.5232876712328767,25.964383561643835,24.0,0.5397260273972603,10.0,0.336986301369863,16.0,0.14794520547945206,31.0,0.4246575342465753,0.4328767123287671,313,0.4952076677316294,0.2410958904109589,0.5232876712328767,279,0.3154121863799283,0.3013698630136986,0.2876712328767123,215,0.5116279069767442,0.12054794520547946,0.32054794520547947,161,0.2732919254658385,0.14794520547945206,0.10684931506849316,93,0.5806451612903226
1h,DAILY_ONLY,120,365,73.23940465060532,39.09590714722189,16.20175773786814,90.91657914787498,182.7491425795711,-64.57456169706177,-45.91090257807351,-155.99755068386045,6.272433765051537,-4.957612413861723,0.4575342465753425,0.536986301369863,50.276712328767125,42.0,0.6520547945205479,14.0,0.42191780821917807,27.0,0.2219178082191781,41.0,0.4575342465753425,0.4794520547945205,342,0.48830409356725146,0.26575342465753427,0.5945205479452055,314,0.3089171974522293,0.34794520547945207,0.3835616438356164,267,0.4756554307116105,0.1726027397260274,0.4410958904109589,224,0.28125,0.21643835616438356,0.20273972602739726,153,0.5163398692810458
