symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,terminal_loss_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_events,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_events,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_events,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_events,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_events,t100_s100_resolved_target_win_rate
ETHUSDT,1m,DAILY_4H_1H,15,2917,25.902200786692713,15.451740316831941,6.022720192726538,31.802120141344314,60.36493437257962,-23.044636292344837,-15.367421067336018,-50.07138518650378,1.036528904212521,-0.7057376470709364,0.4847446006170723,0.5138841275282825,7.2670551936921495,7.0,0.3356187864244086,6.0,0.14192663695577648,8.0,0.03770997600274254,10.0,0.308193349331505,0.27082619129242375,1689,0.5322676139727649,0.1237572848817278,0.2972231744943435,1228,0.2939739413680782,0.13747000342817964,0.09496057593417895,678,0.5914454277286135,0.03565306822077477,0.09838875557079191,391,0.2659846547314578,0.03770997600274254,0.020911895783339046,171,0.6432748538011696
ETHUSDT,1m,DAILY_4H_1H,30,2917,38.7712182980167,23.08582643484325,9.518752590136348,47.9629745614929,89.17095244039474,-33.32584249698011,-21.923455286456672,-76.14935530459243,1.7026686905835469,-1.0411244143682108,0.48303051079876586,0.5166266712375729,14.058621871786082,13.0,0.4696606102159753,9.0,0.2396297565992458,13.0,0.08056222146040452,16.0,0.4045251971203291,0.362701405553651,2238,0.5272564789991063,0.19266369557764826,0.41755227973945835,1780,0.31573033707865167,0.22797394583476174,0.17620843332190606,1179,0.5640373197625106,0.0750771340418238,0.1919780596503257,779,0.2811296534017972,0.07953376756942064,0.04765169694892012,371,0.6253369272237197
ETHUSDT,1m,DAILY_4H_1H,60,2917,57.125012842442395,34.80442440340737,14.79226743565043,70.98252392290672,126.48283672845743,-48.30740355726487,-31.593364518287537,-107.27857369030235,2.679275627433855,-0.250380265027772,0.4977716832362016,0.5018854988001371,28.13301336990058,27.0,0.6088447034624614,13.0,0.36750085704490915,21.0,0.155296537538567,30.0,0.47754542338018513,0.4281796366129585,2642,0.5272520817562453,0.26842646554679467,0.5258827562564279,2317,0.3379369874838153,0.33527596846074736,0.2790538224202948,1792,0.5457589285714286,0.13781282139184092,0.3143640726774083,1319,0.30477634571645185,0.15152553993829276,0.11107302022625985,766,0.577023498694517
ETHUSDT,1m,DAILY_4H_1H,120,2917,83.68702884560237,51.004144086708166,22.515259365234463,101.09660574412428,193.58446085270634,-69.7757811843977,-45.92673592126894,-159.43980142699843,2.595808567548513,-0.43263448442854013,0.497086047308879,0.5025711347274597,55.2958519026397,52.0,0.7250599931436408,18.0,0.5111415838189921,33.0,0.2547137470003428,51.0,0.5162838532739116,0.4556050737058622,2835,0.5312169312169313,0.329105245114844,0.5855330819334933,2668,0.3598200899550225,0.43469317792252316,0.3699005827905382,2347,0.5402641670217299,0.20877613986972918,0.43606444977716835,1881,0.3237639553429027,0.2392869386355845,0.19163524168666438,1257,0.5552903739061257
ETHUSDT,1m,DAILY_4H_1H,240,2917,122.37967847619676,75.05597394667384,33.767461401112975,146.41752511438844,292.3157289946224,-101.86627782276247,-68.41914430746887,-233.41900848859498,2.875536733032183,-1.9729476755914188,0.49160095989029823,0.5083990401097017,106.14192663695577,97.0,0.8148782996229003,22.0,0.6468974974288653,49.0,0.38429893726431263,78.0,0.5299965718203634,0.46623243057936237,2906,0.5320027529249828,0.36098731573534454,0.618786424408639,2858,0.36843946815955214,0.5056564964004113,0.429893726431265,2729,0.5404910223525101,0.28556736372985947,0.5481659238944121,2432,0.3425164473684211,0.34933150497086046,0.2958519026396983,1882,0.5414452709883103
ETHUSDT,1m,DAILY_4H_1H_15M,15,1655,29.229840927151137,17.12756705242624,6.3517649039901425,36.51976284910208,71.78725422977242,-24.443980411949035,-15.838018947856858,-53.717615008579855,1.8103844194539425,-0.5025366133815101,0.4882175226586103,0.5093655589123867,7.122658610271904,6.0,0.3722054380664653,5.0,0.17220543806646527,8.0,0.04954682779456193,10.0,0.33534743202416917,0.2743202416918429,1009,0.5500495540138751,0.14622356495468278,0.3081570996978852,752,0.32180851063829785,0.16555891238670695,0.10392749244712991,446,0.6143497757847534,0.04652567975830816,0.10936555891238671,258,0.29844961240310075,0.04954682779456193,0.025377643504531724,124,0.6612903225806451
ETHUSDT,1m,DAILY_4H_1H_15M,30,1655,44.45263996209468,25.23860479695772,9.949914321777387,55.689594975892874,102.2765326934674,-35.25571571475847,-22.345867935280594,-77.37392902207296,2.994163386088803,-1.5750615258414147,0.47311178247734137,0.5262839879154079,13.768580060422961,12.0,0.5021148036253776,8.0,0.283987915407855,13.0,0.10453172205438066,16.0,0.4241691842900302,0.35709969788519635,1293,0.54292343387471,0.2217522658610272,0.4253776435045317,1071,0.3426704014939309,0.2688821752265861,0.18670694864048337,754,0.5901856763925729,0.09909365558912386,0.20906344410876132,510,0.3215686274509804,0.10392749244712991,0.05498489425981873,263,0.6539923954372624
ETHUSDT,1m,DAILY_4H_1H_15M,60,1655,65.80233379404943,36.71706263498997,16.311365201797656,81.02020010198996,148.88127284319725,-50.867032057519815,-33.45120665053658,-112.60362922459,4.979629826616842,-1.7145220013525808,0.486404833836858,0.5129909365558912,27.708157099697885,26.0,0.6247734138972809,11.0,0.4042296072507553,19.0,0.19093655589123867,28.0,0.486404833836858,0.4169184290030212,1495,0.5384615384615384,0.28700906344410876,0.5280966767371601,1349,0.352112676056338,0.36435045317220544,0.2876132930513595,1079,0.5588507877664504,0.16858006042296073,0.3341389728096677,832,0.33533653846153844,0.18670694864048337,0.11963746223564954,507,0.6094674556213018
ETHUSDT,1m,DAILY_4H_1H_15M,120,1655,96.90241276890238,53.99335013780204,23.794549953862763,120.23166215232806,233.10460440693873,-74.16573947606008,-48.50099263689622,-169.18903180321854,5.82825162881717,-2.0904506496144393,0.4851963746223565,0.5141993957703928,54.33051359516616,51.0,0.7359516616314199,15.0,0.5238670694864048,27.0,0.29667673716012083,45.0,0.5274924471299094,0.44652567975830815,1612,0.5415632754342432,0.3274924471299094,0.5885196374622357,1516,0.3575197889182058,0.4380664652567976,0.37099697885196375,1339,0.5414488424197162,0.2362537764350453,0.44833836858006043,1133,0.3451015004413063,0.2743202416918429,0.20906344410876132,800,0.5675
ETHUSDT,1m,DAILY_4H_1H_15M,240,1655,140.3704391428359,80.36644286879557,35.08029580032268,171.89813343137294,344.61326415842626,-106.43377176058998,-73.37404997424524,-248.72071728862412,7.869578194528109,-5.688501513720912,0.4755287009063444,0.5244712990936556,103.10151057401812,93.0,0.8217522658610272,19.0,0.6422960725075528,38.0,0.42114803625377645,67.0,0.5401812688821752,0.45740181268882174,1651,0.5414900060569352,0.35709969788519635,0.6211480362537765,1619,0.3650401482396541,0.49788519637462236,0.4283987915407855,1533,0.5375081539465101,0.3003021148036254,0.552870090634441,1412,0.3519830028328612,0.370392749244713,0.311178247734139,1128,0.5434397163120568
