iter	Passed	Remaining
927	11385	3337
928	11396	3324
929	11410	3312
930	11422	3300
931	11435	3288
932	11446	3275
933	11458	3263
934	11470	3250
935	11482	3238
936	11493	3226
937	11507	3214
938	11518	3201
939	11531	3189
940	11542	3176
941	11556	3165
942	11567	3152
943	11581	3140
944	11593	3128
945	11606	3116
946	11618	3103
947	11632	3092
948	11644	3079
949	11657	3067
950	11669	3055
951	11683	3043
952	11694	3031
953	11709	3019
954	11721	3007
955	11735	2995
956	11747	2982
957	11762	2971
958	11774	2959
959	11787	2946
960	11799	2934
961	11813	2922
962	11824	2910
963	11836	2897
964	11848	2885
965	11861	2873
966	11873	2860
967	11886	2848
968	11898	2836
969	11911	2824
970	11922	2811
971	11935	2799
972	11947	2787
973	11958	2774
974	11970	2762
975	11983	2750
976	11994	2737
977	12007	2725
978	12019	2713
979	12032	2701
980	12044	2688
981	12057	2676
982	12068	2664
983	12081	2651
984	12092	2639
985	12104	2627
986	12116	2614
987	12129	2602
988	12141	2590
989	12154	2578
990	12166	2565
991	12179	2553
992	12191	2541
993	12205	2529
994	12217	2517
995	12232	2505
996	12244	2493
997	12259	2481
998	12271	2468
999	12285	2457
1000	12297	2444
1001	12312	2433
1002	12324	2420
1003	12340	2409
1004	12351	2396
1005	12366	2384
1006	12380	2372
1007	12395	2360
1008	12407	2348
1009	12421	2336
1010	12434	2324
1011	12448	2312
1012	12460	2300
1013	12475	2288
1014	12486	2275
1015	12500	2263
1016	12511	2251
1017	12525	2239
1018	12536	2226
1019	12550	2214
1020	12562	2202
1021	12574	2190
1022	12585	2177
1023	12598	2165
1024	12611	2153
1025	12624	2140
1026	12635	2128
1027	12648	2116
1028	12660	2103
1029	12673	2091
1030	12685	2079
1031	12699	2067
1032	12710	2054
1033	12723	2042
1034	12735	2030
1035	12748	2018
1036	12759	2005
1037	12772	1993
1038	12783	1980
1039	12796	1968
1040	12807	1956
1041	12820	1944
1042	12831	1931
1043	12844	1919
1044	12855	1906
1045	12867	1894
1046	12879	1882
1047	12892	1869
1048	12903	1857
1049	12917	1845
1050	12928	1832
1051	12941	1820
1052	12953	1808
1053	12965	1796
1054	12976	1783
1055	12990	1771
1056	13001	1758
1057	13016	1746
1058	13027	1734
1059	13039	1722
1060	13053	1710
1061	13066	1697
1062	13078	1685
1063	13092	1673
1064	13104	1661
1065	13118	1649
1066	13132	1636
1067	13146	1624
1068	13158	1612
1069	13171	1600
1070	13183	1587
1071	13196	1575
1072	13208	1563
1073	13220	1551
1074	13233	1538
1075	13246	1526
1076	13258	1514
1077	13271	1501
1078	13283	1489
1079	13296	1477
1080	13307	1464
1081	13320	1452
1082	13331	1440
1083	13343	1427
1084	13354	1415
1085	13367	1403
1086	13378	1390
1087	13392	1378
1088	13403	1366
1089	13415	1353
1090	13426	1341
1091	13440	1329
1092	13452	1316
1093	13463	1304
1094	13475	1292
1095	13488	1279
1096	13500	1267
1097	13513	1255
1098	13525	1243
1099	13538	1230
1100	13550	1218
1101	13562	1206
1102	13573	1193
1103	13586	1181
1104	13598	1169
1105	13612	1156
1106	13624	1144
1107	13639	1132
1108	13652	1120
1109	13665	1108
1110	13678	1095
1111	13692	1083
1112	13704	1071
1113	13718	1059
1114	13730	1046
1115	13744	1034
1116	13756	1022
1117	13769	1009
1118	13782	997
1119	13794	985
1120	13806	972
1121	13820	960
1122	13832	948
1123	13846	936
1124	13858	923
1125	13871	911
1126	13882	899
1127	13895	886
1128	13906	874
1129	13919	862
1130	13931	849
1131	13943	837
1132	13955	825
1133	13968	812
1134	13980	800
1135	13993	788
1136	14004	775
1137	14017	763
1138	14028	751
1139	14041	739
1140	14050	726
1141	14063	714
1142	14075	701
1143	14086	689
1144	14098	677
1145	14110	664
1146	14122	652
1147	14135	640
1148	14146	627
1149	14159	615
1150	14171	603
1151	14183	590
1152	14196	578
1153	14209	566
1154	14220	554
1155	14234	541
1156	14247	529
1157	14259	517
1158	14271	504
1159	14284	492
1160	14295	480
1161	14308	467
1162	14319	455
1163	14333	443
1164	14345	430
1165	14358	418
1166	14370	406
1167	14384	394
1168	14396	381
1169	14410	369
1170	14423	357
1171	14438	344
1172	14450	332
1173	14463	320
1174	14476	308
1175	14489	295
1176	14501	283
1177	14515	271
1178	14526	258
1179	14539	246
1180	14550	234
1181	14563	221
1182	14574	209
1183	14587	197
1184	14598	184
1185	14611	172
1186	14622	160
1187	14635	147
1188	14645	135
1189	14658	123
1190	14669	110
1191	14681	98
1192	14693	86
1193	14705	73
1194	14717	61
1195	14730	49
1196	14741	36
1197	14753	24
1198	14764	12
1199	14776	0
