symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,mean_mae_bps,mean_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,target_25bps_hit_rate,target_50bps_hit_rate,target_100bps_hit_rate,t50_s25_resolved_target_win_rate,t100_s50_resolved_target_win_rate
BTCUSDT,1h,DAILY_ONLY,60,116,39.47189421216181,20.843255760065738,-36.026289602961555,3.7401146623793298,0.45689655172413796,24.362068965517242,0.43103448275862066,0.22413793103448276,0.10344827586206896,0.273972602739726,0.225
BTCUSDT,1h,FULL_ALIGNMENT,60,50,50.4141760335091,21.274305203645703,-31.85171584504143,16.034638038813846,0.48,25.52,0.46,0.28,0.12,0.3125,0.3125
BTCUSDT,1h,DAILY_4H,120,52,64.08817080478404,31.650376268438364,-51.781632664512685,0.5938487915515454,0.4423076923076923,49.42307692307692,0.5961538461538461,0.36538461538461536,0.19230769230769232,0.3,0.2962962962962963
BTCUSDT,1h,DAILY_4H_1H,120,52,64.08817080478404,31.650376268438364,-51.781632664512685,0.5938487915515454,0.4423076923076923,49.42307692307692,0.5961538461538461,0.36538461538461536,0.19230769230769232,0.3,0.2962962962962963
BTCUSDT,1h,DAILY_4H_1H_15M,120,52,64.08817080478404,31.650376268438364,-51.781632664512685,0.5938487915515454,0.4423076923076923,49.42307692307692,0.5961538461538461,0.36538461538461536,0.19230769230769232,0.3,0.2962962962962963
BTCUSDT,1h,DAILY_ONLY,120,116,53.21590272002627,28.641388773733567,-53.17261928399079,-3.3337528362335243,0.4224137931034483,50.189655172413794,0.5431034482758621,0.3017241379310345,0.16379310344827586,0.26744186046511625,0.25862068965517243
BTCUSDT,1h,FULL_ALIGNMENT,120,50,64.17168930683926,30.58487932651066,-52.187015623954004,0.26370330857348206,0.44,46.78,0.58,0.36,0.2,0.3076923076923077,0.3076923076923077
BTCUSDT,1h,DAILY_4H,240,52,85.84400534134024,44.01610599453986,-73.73273758081793,3.603806504387477,0.5192307692307693,96.32692307692308,0.7115384615384616,0.4807692307692308,0.23076923076923078,0.3181818181818182,0.2571428571428571
BTCUSDT,1h,DAILY_4H_1H,240,52,85.84400534134024,44.01610599453986,-73.73273758081793,3.603806504387477,0.5192307692307693,96.32692307692308,0.7115384615384616,0.4807692307692308,0.23076923076923078,0.3181818181818182,0.2571428571428571
BTCUSDT,1h,DAILY_4H_1H_15M,240,52,85.84400534134024,44.01610599453986,-73.73273758081793,3.603806504387477,0.5192307692307693,96.32692307692308,0.7115384615384616,0.4807692307692308,0.23076923076923078,0.3181818181818182,0.2571428571428571
BTCUSDT,1h,DAILY_ONLY,240,116,69.67286133501487,33.39438071705114,-77.041171434282,-11.434133707476457,0.4482758620689655,90.94827586206897,0.646551724137931,0.3879310344827586,0.20689655172413793,0.2755102040816326,0.2361111111111111
BTCUSDT,1h,FULL_ALIGNMENT,240,50,86.18724208170171,40.08004420600675,-72.65171640143787,5.490100204325699,0.52,95.06,0.7,0.46,0.24,0.30952380952380953,0.2647058823529412
BTCUSDT,1m,DAILY_4H,15,4777,16.54956129402965,10.224421501017211,-15.712703231526195,0.32006401202801865,0.4948712581117856,7.307933849696462,0.2070337031609797,0.05819552020096295,0.010676156583629894,0.22995594713656387,0.18587360594795538
BTCUSDT,1m,DAILY_4H_1H,15,2928,17.8242454925322,11.07527194359803,-16.672266933927343,0.5280649622900055,0.5047814207650273,7.407445355191257,0.22643442622950818,0.06967213114754098,0.01331967213114754,0.24518613607188702,0.2
BTCUSDT,1m,DAILY_4H_1H_15M,15,1608,20.005580679306647,12.033282376491261,-17.94671166172056,1.0444062508402454,0.4975124378109453,7.380597014925373,0.26243781094527363,0.08893034825870647,0.01927860696517413,0.2732919254658385,0.234375
BTCUSDT,1m,DAILY_ONLY,15,8092,15.720771703730431,9.629745721392302,-14.931122634972322,0.3579252060346481,0.49480968858131485,7.34453781512605,0.189817103311913,0.05202669303015324,0.009515570934256055,0.2233502538071066,0.19437340153452684
BTCUSDT,1m,FULL_ALIGNMENT,15,933,21.309595498838128,12.308553720803417,-18.804764440893408,1.3395173532630178,0.48767416934619506,7.106109324758842,0.2958199356913183,0.09646302250803858,0.021436227224008574,0.27124183006535946,0.24096385542168675
BTCUSDT,1m,DAILY_4H,30,4777,23.999879302314948,14.750445632798481,-22.953853549762474,0.6328802465837277,0.4980113041657944,14.28909357337241,0.32363407996650617,0.11618170399832531,0.026795059660875028,0.2502596053997923,0.190625
BTCUSDT,1m,DAILY_4H_1H,30,2928,26.177808053211674,16.31605351134713,-24.07630471157857,1.2317620885847156,0.5047814207650273,14.476434426229508,0.3514344262295082,0.1362704918032787,0.03278688524590164,0.27101335428122547,0.20642201834862386
BTCUSDT,1m,DAILY_4H_1H_15M,30,1608,29.339463911295553,17.918614746621486,-25.82856672134714,1.7507931745481395,0.5049751243781094,14.355099502487562,0.3917910447761194,0.16728855721393035,0.04415422885572139,0.30361757105943155,0.22887323943661972
BTCUSDT,1m,DAILY_ONLY,30,8092,22.74963176748519,14.133543834791151,-21.773184280460963,0.3953407388210471,0.495304003954523,14.286826495304004,0.3061047948591201,0.10528917449332674,0.023232822540781017,0.24331376386170905,0.18645833333333334
BTCUSDT,1m,FULL_ALIGNMENT,30,933,31.848518593731512,19.391728239874784,-26.98084793549668,3.020723622062775,0.5166130760986066,14.166130760986066,0.42979635584137194,0.1864951768488746,0.05359056806002144,0.3136456211812627,0.25136612021857924
BTCUSDT,1m,DAILY_4H,60,4777,34.932062515734756,21.880988542373192,-33.33019948942848,0.35922179773210783,0.49445258530458447,28.455516014234874,0.45216663177726607,0.21205777684739377,0.06468494871258111,0.2883478260869565,0.22953451043338685
BTCUSDT,1m,DAILY_4H_1H,60,2928,38.289464709387396,24.020177760284422,-34.92582293274144,0.5820747667346792,0.49351092896174864,28.60928961748634,0.4812158469945355,0.24316939890710382,0.07581967213114754,0.31365113759479957,0.2469733656174334
BTCUSDT,1m,DAILY_4H_1H_15M,60,1608,43.22608600562303,26.063012254083915,-37.2791213007681,1.694526167400888,0.4894278606965174,28.067164179104477,0.5124378109452736,0.2835820895522388,0.10012437810945274,0.3321201091901729,0.279383429672447
BTCUSDT,1m,DAILY_ONLY,60,8092,32.990648651916956,20.875726017355323,-31.65832205972697,0.4548918402964534,0.4922145328719723,28.33910034602076,0.43388531883341575,0.1962432031636184,0.05758774097874444,0.2795813754805639,0.22412008281573498
BTCUSDT,1m,FULL_ALIGNMENT,60,933,46.00214708333223,28.893270882708322,-38.51136172170507,1.6358743922932977,0.4737406216505895,27.105037513397644,0.5423365487674169,0.3065380493033226,0.12004287245444802,0.3421828908554572,0.30864197530864196
BTCUSDT,1m,DAILY_4H,120,4777,50.45286171246554,31.569415567425096,-47.8496790347057,0.2911947605700022,0.48838182960016746,55.60958760728491,0.5819552020096295,0.34059032865815364,0.13250994347917103,0.31960417223856646,0.2675921493537578
BTCUSDT,1m,DAILY_4H_1H,120,2928,55.47260540212806,35.69286664546701,-50.188979890404084,0.6140305823268887,0.4887295081967213,55.81693989071038,0.6140710382513661,0.3790983606557377,0.1489071038251366,0.34484228473998296,0.28241430700447095
BTCUSDT,1m,DAILY_4H_1H_15M,120,1608,62.345611874460324,37.74095500233665,-53.46272269738862,1.8258768679219801,0.47947761194029853,54.05410447761194,0.6343283582089553,0.4141791044776119,0.1822139303482587,0.3501126972201352,0.3079754601226994
BTCUSDT,1m,DAILY_ONLY,120,8092,47.85417099895037,30.39004297194614,-45.74891932280101,0.9913580785082696,0.49085516559565,55.836999505684624,0.5679683638161147,0.3226643598615917,0.12073652990608008,0.3101449275362319,0.26173285198555957
BTCUSDT,1m,FULL_ALIGNMENT,120,933,65.23559014769457,42.122621137590244,-54.74037734528551,4.220114538506076,0.5005359056806002,54.160771704180064,0.6645230439442658,0.44694533762057875,0.2015005359056806,0.3656716417910448,0.3185483870967742
BTCUSDT,1m,DAILY_4H,240,4777,74.31109293585664,47.16926864624105,-68.44768724890966,1.4469344200523802,0.4848231107389575,110.50533807829181,0.6920661503035378,0.4762403181913335,0.23299141720745237,0.33233463931781515,0.2927469642271086
BTCUSDT,1m,DAILY_4H_1H,240,2928,81.10682773779384,50.59352551283314,-71.34775474960318,1.333402921546247,0.4805327868852459,108.58572404371584,0.7137978142076503,0.5047814207650273,0.2619535519125683,0.35291930085533657,0.31513903192584963
BTCUSDT,1m,DAILY_4H_1H_15M,240,1608,90.84240308829568,56.65364091917979,-76.01442485998886,1.9008898380622823,0.4577114427860697,105.05099502487562,0.7251243781094527,0.5310945273631841,0.30472636815920395,0.35479543930248153,0.3303964757709251
BTCUSDT,1m,DAILY_ONLY,240,8092,69.58284987170889,44.953161664077484,-65.44962794947651,1.9075066862113434,0.4893722194760257,110.34280771131982,0.680919426594167,0.4598368759268413,0.2161393969352447,0.3238121395221093,0.29132106008496866
BTCUSDT,1m,FULL_ALIGNMENT,240,933,95.52745372955658,61.98160280807885,-76.4103121544145,4.687589626059742,0.46516613076098606,104.85423365487674,0.744908896034298,0.5734190782422294,0.32261521972132906,0.3735763097949886,0.33527696793002915
BTCUSDT,5m,DAILY_4H,15,958,16.56101842270362,10.006788402070477,-16.13491120287434,-0.6220342283430014,0.4572025052192067,6.8528183716075155,0.20041753653444677,0.060542797494780795,0.010438413361169102,0.2330508474576271,0.1694915254237288
BTCUSDT,5m,DAILY_4H_1H,15,570,18.403611759129184,11.4354467941713,-17.20013056013671,-0.4407719492265335,0.45789473684210524,6.882456140350877,0.22105263157894736,0.07368421052631578,0.014035087719298246,0.28187919463087246,0.1951219512195122
BTCUSDT,5m,DAILY_4H_1H_15M,15,249,19.799487603283456,11.813249820082916,-19.912631079245426,-1.6969883654533138,0.42570281124497994,6.767068273092369,0.23293172690763053,0.08433734939759036,0.020080321285140562,0.2692307692307692,0.19230769230769232
BTCUSDT,5m,DAILY_ONLY,15,1618,15.923023525060856,9.8132110884952,-15.508727724174172,-0.7580088268499281,0.4579728059332509,6.892459826946848,0.18603213844252164,0.0550061804697157,0.011124845488257108,0.23743016759776536,0.19148936170212766
BTCUSDT,5m,FULL_ALIGNMENT,15,249,19.799487603283456,11.813249820082916,-19.912631079245426,-1.6969883654533138,0.42570281124497994,6.767068273092369,0.23293172690763053,0.08433734939759036,0.020080321285140562,0.2692307692307692,0.19230769230769232
BTCUSDT,5m,DAILY_4H,30,958,25.083309225811597,15.043807352684846,-23.084659708937405,-0.3139741356400317,0.48434237995824636,14.169102296450939,0.32045929018789143,0.12317327766179541,0.029227557411273485,0.2593516209476309,0.20930232558139536
BTCUSDT,5m,DAILY_4H_1H,30,570,27.64849778011976,15.810385938020977,-24.89490986347407,-0.634476334761784,0.44912280701754387,13.552631578947368,0.3385964912280702,0.1368421052631579,0.042105263157894736,0.28125,0.26136363636363635
BTCUSDT,5m,DAILY_4H_1H_15M,30,249,31.450606935774843,16.568806829928562,-27.91502141487451,0.3000462201430404,0.4538152610441767,13.859437751004016,0.3654618473895582,0.1646586345381526,0.05622489959839357,0.29365079365079366,0.25
BTCUSDT,5m,DAILY_ONLY,30,1618,23.529326542536165,14.122361347245205,-22.06782981526649,-0.294927852443576,0.48702101359703337,14.07849196538937,0.3034610630407911,0.11557478368355995,0.02533992583436341,0.26582278481012656,0.20408163265306123
BTCUSDT,5m,FULL_ALIGNMENT,30,249,31.450606935774843,16.568806829928562,-27.91502141487451,0.3000462201430404,0.4538152610441767,13.859437751004016,0.3654618473895582,0.1646586345381526,0.05622489959839357,0.29365079365079366,0.25
BTCUSDT,5m,DAILY_4H,60,958,36.1764127705406,22.569689818469072,-33.44188234543848,-1.4406545490309055,0.477035490605428,27.65240083507307,0.4561586638830898,0.22860125260960334,0.06889352818371608,0.2956521739130435,0.24150943396226415
BTCUSDT,5m,DAILY_4H_1H,60,570,39.46775752134623,23.168663768680098,-36.25478652542317,-2.7012118195947967,0.45087719298245615,26.719298245614034,0.4666666666666667,0.24736842105263157,0.08947368421052632,0.29863013698630136,0.2752808988764045
BTCUSDT,5m,DAILY_4H_1H_15M,60,249,43.359618681504024,24.0434182629512,-39.17917208461054,-3.3725114216835257,0.4497991967871486,26.779116465863453,0.4859437751004016,0.2931726907630522,0.10441767068273092,0.3236994219653179,0.26666666666666666
BTCUSDT,5m,DAILY_ONLY,60,1618,33.934200516452655,21.32704823611831,-31.686848476436495,-0.6672540488852465,0.4888751545117429,28.196538936959207,0.4468479604449938,0.21013597033374537,0.05624227441285538,0.2953813104189044,0.22797927461139897
BTCUSDT,5m,FULL_ALIGNMENT,60,249,43.359618681504024,24.0434182629512,-39.17917208461054,-3.3725114216835257,0.4497991967871486,26.779116465863453,0.4859437751004016,0.2931726907630522,0.10441767068273092,0.3236994219653179,0.26666666666666666
BTCUSDT,5m,DAILY_4H,120,958,50.20708357849024,32.29712452191169,-50.19068797685346,-4.871120244819207,0.46242171189979125,52.48329853862213,0.5751565762004175,0.33611691022964507,0.1304801670146138,0.308,0.25806451612903225
BTCUSDT,5m,DAILY_4H_1H,120,570,55.539033752161075,35.317093127805734,-54.35004001629423,-6.86949360356823,0.43508771929824563,51.43333333333333,0.5859649122807018,0.3684210526315789,0.1543859649122807,0.3199152542372881,0.27816901408450706
BTCUSDT,5m,DAILY_4H_1H_15M,120,249,62.18122919854757,37.463892124174336,-59.982699186817136,-10.596919873095025,0.42168674698795183,48.34538152610442,0.5943775100401606,0.40160642570281124,0.1686746987951807,0.330188679245283,0.2535211267605634
BTCUSDT,5m,DAILY_ONLY,120,1618,47.64098268697349,30.514299884327745,-46.84006764181578,-2.6686550406991243,0.46786155747836833,53.584054388133495,0.5630407911001236,0.3207663782447466,0.11557478368355995,0.3083131557707829,0.24963072378138848
BTCUSDT,5m,FULL_ALIGNMENT,120,249,62.18122919854757,37.463892124174336,-59.982699186817136,-10.596919873095025,0.42168674698795183,48.34538152610442,0.5943775100401606,0.40160642570281124,0.1686746987951807,0.330188679245283,0.2535211267605634
BTCUSDT,5m,DAILY_4H,240,958,72.61616434847693,45.26243815470288,-70.73853562703991,-2.5172913954955503,0.4613778705636743,103.70563674321504,0.6805845511482255,0.47390396659707723,0.2265135699373695,0.32988505747126434,0.2766990291262136
BTCUSDT,5m,DAILY_4H_1H,240,570,80.2199363786528,50.91500674245353,-75.02361408333071,-2.2095279152067877,0.443859649122807,102.73333333333333,0.6912280701754386,0.5070175438596491,0.2596491228070175,0.3407821229050279,0.29896907216494845
BTCUSDT,5m,DAILY_4H_1H_15M,240,249,87.65663213936482,54.18882427977279,-84.23623175122377,-6.16373533705698,0.40963855421686746,99.15261044176707,0.6746987951807228,0.5220883534136547,0.27309236947791166,0.3445378151260504,0.2824858757062147
BTCUSDT,5m,DAILY_ONLY,240,1618,69.89224738215201,44.42242216756487,-66.76896956604817,0.6706827660404655,0.4783683559950556,106.49134734239803,0.6823238566131026,0.46662546353522866,0.2218788627935723,0.3280386740331492,0.2837162837162837
BTCUSDT,5m,FULL_ALIGNMENT,240,249,87.65663213936482,54.18882427977279,-84.23623175122377,-6.16373533705698,0.40963855421686746,99.15261044176707,0.6746987951807228,0.5220883534136547,0.27309236947791166,0.3445378151260504,0.2824858757062147
ETHUSDT,15m,DAILY_4H,15,314,27.303180960946108,16.107691455801152,-24.596290352897125,-0.08573557196661816,0.4554140127388535,6.388535031847134,0.35987261146496813,0.1592356687898089,0.03821656050955414,0.2867132867132867,0.18867924528301888
ETHUSDT,15m,DAILY_4H_1H,15,148,32.70806682052262,21.280026304082433,-28.765516565265358,-0.06880246734201158,0.4797297297297297,6.743243243243243,0.4594594594594595,0.1891891891891892,0.05405405405405406,0.2597402597402597,0.17647058823529413
ETHUSDT,15m,DAILY_4H_1H_15M,15,148,32.70806682052262,21.280026304082433,-28.765516565265358,-0.06880246734201158,0.4797297297297297,6.743243243243243,0.4594594594594595,0.1891891891891892,0.05405405405405406,0.2597402597402597,0.17647058823529413
ETHUSDT,15m,DAILY_ONLY,15,559,27.022645804992216,16.197471776291383,-23.673037172987183,-0.04602993297618119,0.46153846153846156,6.282647584973167,0.3595706618962433,0.1592128801431127,0.03756708407871199,0.3055555555555556,0.2261904761904762
ETHUSDT,15m,FULL_ALIGNMENT,15,138,32.8820560627415,21.078509323766426,-29.784376328871648,-0.9087406361165947,0.463768115942029,6.659420289855072,0.4420289855072464,0.1956521739130435,0.057971014492753624,0.2602739726027397,0.17647058823529413
ETHUSDT,15m,DAILY_4H,30,314,36.74351222440103,22.61644050714939,-35.323431742539746,-2.374821109285449,0.46496815286624205,12.78343949044586,0.48089171974522293,0.23248407643312102,0.07006369426751592,0.2894736842105263,0.21739130434782608
ETHUSDT,15m,DAILY_4H_1H,30,148,42.19908833201708,28.681056001009786,-42.90412157901157,-6.764005272487389,0.46621621621621623,12.68918918918919,0.5608108108108109,0.27702702702702703,0.06756756756756757,0.29591836734693877,0.14814814814814814
ETHUSDT,15m,DAILY_4H_1H_15M,30,148,42.19908833201708,28.681056001009786,-42.90412157901157,-6.764005272487389,0.46621621621621623,12.68918918918919,0.5608108108108109,0.27702702702702703,0.06756756756756757,0.29591836734693877,0.14814814814814814
ETHUSDT,15m,DAILY_ONLY,30,559,36.561157542690346,22.512370343772403,-33.57887160129639,-1.4151144597569592,0.46332737030411447,12.581395348837209,0.47584973166368516,0.23076923076923078,0.06976744186046512,0.30383480825958703,0.23870967741935484
ETHUSDT,15m,FULL_ALIGNMENT,30,138,42.418373873948745,27.129288629906824,-44.61413053512502,-8.289292981199328,0.4492753623188406,12.528985507246377,0.5362318840579711,0.2826086956521739,0.07246376811594203,0.2903225806451613,0.1509433962264151
ETHUSDT,15m,DAILY_4H,60,314,51.67210961335335,33.86872237536976,-50.15685864182616,-6.635388721179259,0.42038216560509556,24.754777070063696,0.5987261146496815,0.3535031847133758,0.14012738853503184,0.32113821138211385,0.26573426573426573
ETHUSDT,15m,DAILY_4H_1H,60,148,58.37835864219497,40.28435044081347,-60.9753048035477,-13.673592679822427,0.41216216216216217,24.175675675675677,0.6756756756756757,0.38513513513513514,0.14189189189189189,0.3170731707317073,0.2073170731707317
ETHUSDT,15m,DAILY_4H_1H_15M,60,148,58.37835864219497,40.28435044081347,-60.9753048035477,-13.673592679822427,0.41216216216216217,24.175675675675677,0.6756756756756757,0.38513513513513514,0.14189189189189189,0.3170731707317073,0.2073170731707317
ETHUSDT,15m,DAILY_ONLY,60,559,51.86385812796945,33.746794054565484,-46.48431108293597,-2.0231655020529526,0.44543828264758495,24.481216457960645,0.590339892665474,0.34525939177101966,0.13595706618962433,0.32558139534883723,0.288135593220339
ETHUSDT,15m,FULL_ALIGNMENT,60,138,59.010362788691424,40.00342348294717,-62.28256554514644,-14.039661475668655,0.391304347826087,24.159420289855074,0.6594202898550725,0.391304347826087,0.14492753623188406,0.3076923076923077,0.20512820512820512
ETHUSDT,15m,DAILY_4H,120,314,71.13729440893181,43.29509116154373,-72.22501300623851,-6.26740936934711,0.39490445859872614,46.531847133757964,0.6687898089171974,0.46178343949044587,0.24203821656050956,0.3380281690140845,0.28708133971291866
ETHUSDT,15m,DAILY_4H_1H,120,148,79.93359469668077,54.874185710014345,-82.0649906382902,-8.158755455147576,0.3783783783783784,44.88513513513514,0.7297297297297297,0.5135135135135135,0.24324324324324326,0.35251798561151076,0.23893805309734514
ETHUSDT,15m,DAILY_4H_1H_15M,120,148,79.93359469668077,54.874185710014345,-82.0649906382902,-8.158755455147576,0.3783783783783784,44.88513513513514,0.7297297297297297,0.5135135135135135,0.24324324324324326,0.35251798561151076,0.23893805309734514
ETHUSDT,15m,DAILY_ONLY,120,559,71.0095645741373,44.17323985825394,-67.76900995848513,-3.927006033056354,0.4329159212880143,47.914132379248656,0.6762075134168157,0.4561717352415027,0.22361359570661896,0.346,0.2959770114942529
ETHUSDT,15m,FULL_ALIGNMENT,120,138,81.144112809682,54.874185710014345,-83.20160598002103,-7.628728970054413,0.3695652173913043,45.43478260869565,0.717391304347826,0.5144927536231884,0.2463768115942029,0.3384615384615385,0.23148148148148148
ETHUSDT,15m,DAILY_4H,240,314,106.16055919168711,67.15247590286744,-99.16234269448314,1.7125569923240191,0.4426751592356688,101.78980891719745,0.7579617834394905,0.5796178343949044,0.35987261146496813,0.347682119205298,0.29615384615384616
ETHUSDT,15m,DAILY_4H_1H,240,148,124.54503108292704,80.25735328982876,-107.89424634361697,7.548990528493804,0.43243243243243246,103.87837837837837,0.7972972972972973,0.6351351351351351,0.3716216216216216,0.3673469387755102,0.26717557251908397
ETHUSDT,15m,DAILY_4H_1H_15M,240,148,124.54503108292704,80.25735328982876,-107.89424634361697,7.548990528493804,0.43243243243243246,103.87837837837837,0.7972972972972973,0.6351351351351351,0.3716216216216216,0.3673469387755102,0.26717557251908397
ETHUSDT,15m,DAILY_ONLY,240,559,104.07234374252855,65.77036837859707,-95.84865295876365,4.9386455461270415,0.46332737030411447,104.1520572450805,0.7620751341681574,0.5778175313059034,0.3416815742397138,0.35195530726256985,0.30022075055187636
ETHUSDT,15m,FULL_ALIGNMENT,240,138,125.3098586893595,80.25735328982876,-109.31095039242018,7.522923008842837,0.42028985507246375,103.26811594202898,0.7898550724637681,0.6376811594202898,0.36231884057971014,0.35036496350364965,0.2459016393442623
ETHUSDT,1h,DAILY_4H,15,55,29.39504059790445,21.830716200688105,-25.290778509876233,1.3865082047023098,0.509090909090909,8.218181818181819,0.4727272727272727,0.2,0.05454545454545454,0.4230769230769231,0.2727272727272727
ETHUSDT,1h,DAILY_4H_1H,15,55,29.39504059790445,21.830716200688105,-25.290778509876233,1.3865082047023098,0.509090909090909,8.218181818181819,0.4727272727272727,0.2,0.05454545454545454,0.4230769230769231,0.2727272727272727
ETHUSDT,1h,DAILY_4H_1H_15M,15,54,29.906303023989185,23.187794026989785,-25.556021032153378,1.4726594346964115,0.5185185185185185,8.314814814814815,0.48148148148148145,0.2037037037037037,0.05555555555555555,0.4230769230769231,0.2727272727272727
ETHUSDT,1h,DAILY_ONLY,15,124,23.945817492783217,14.732391772321884,-26.166055803133517,-2.445207566276206,0.4838709677419355,7.193548387096774,0.3467741935483871,0.1532258064516129,0.03225806451612903,0.3333333333333333,0.18181818181818182
ETHUSDT,1h,FULL_ALIGNMENT,15,52,30.44035973499918,23.187794026989785,-26.505574821949608,1.2447593943251252,0.5192307692307693,8.173076923076923,0.4807692307692308,0.21153846153846154,0.057692307692307696,0.4230769230769231,0.2727272727272727
ETHUSDT,1h,DAILY_4H,30,55,40.563322911203606,27.87970529906092,-32.51781942040786,4.941490120550955,0.4727272727272727,14.763636363636364,0.6,0.2909090909090909,0.10909090909090909,0.358974358974359,0.29411764705882354
ETHUSDT,1h,DAILY_4H_1H,30,55,40.563322911203606,27.87970529906092,-32.51781942040786,4.941490120550955,0.4727272727272727,14.763636363636364,0.6,0.2909090909090909,0.10909090909090909,0.358974358974359,0.29411764705882354
ETHUSDT,1h,DAILY_4H_1H_15M,30,54,41.04292789342891,28.15220936461804,-32.63163588206776,5.411254157816749,0.48148148148148145,14.685185185185185,0.6111111111111112,0.2962962962962963,0.1111111111111111,0.3684210526315789,0.29411764705882354
