symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,mean_mfe_mae_ratio,target_10bps_hit_rate,target_10bps_median_hit_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_75bps_hit_rate,target_75bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,target_150bps_hit_rate,target_150bps_median_hit_minutes,target_200bps_hit_rate,target_200bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_target_win_rate,ranking_metric,ranking_value
ALL,15m,DAILY_4H_1H_15M,120,446,82.11158938697754,54.90638929858905,18.80933347150282,109.57721047423318,196.95809215493853,-73.85554517495133,-53.412631628358966,-162.29711914099443,2.6137877325130394,-7.816708964863417,0.4484304932735426,52.17488789237668,42.0,8.658118250510753,0.8587443946188341,4.0,0.7130044843049327,10.0,0.5291479820627802,26.0,0.38565022421524664,32.5,0.2757847533632287,44.0,0.16367713004484305,58.0,0.09192825112107623,61.0,0.5134529147982063,0.4327354260089686,0.542654028436019,0.3430493273542601,0.5582959641255605,0.3805970149253731,0.45067264573991034,0.37668161434977576,0.5447154471544715,0.2242152466367713,0.47085201793721976,0.3225806451612903,0.2623318385650224,0.2242152466367713,0.5391705069124424,mean_mfe_bps,82.11158938697754
ALL,15m,DAILY_4H_1H,120,446,82.11158938697754,54.90638929858905,18.80933347150282,109.57721047423318,196.95809215493853,-73.85554517495133,-53.412631628358966,-162.29711914099443,2.6137877325130394,-7.816708964863417,0.4484304932735426,52.17488789237668,42.0,8.658118250510753,0.8587443946188341,4.0,0.7130044843049327,10.0,0.5291479820627802,26.0,0.38565022421524664,32.5,0.2757847533632287,44.0,0.16367713004484305,58.0,0.09192825112107623,61.0,0.5134529147982063,0.4327354260089686,0.542654028436019,0.3430493273542601,0.5582959641255605,0.3805970149253731,0.45067264573991034,0.37668161434977576,0.5447154471544715,0.2242152466367713,0.47085201793721976,0.3225806451612903,0.2623318385650224,0.2242152466367713,0.5391705069124424,mean_mfe_bps,82.11158938697754
ALL,5m,DAILY_4H_1H,120,1650,78.68472056353278,46.702720708301506,19.098096613721083,96.83122601255923,184.86185677775538,-70.04073728120372,-46.98153501767888,-155.35806199717084,-5.080868968907932,-5.999913129750567,0.4527272727272727,50.98909090909091,43.0,21.560770359219113,0.8612121212121212,5.0,0.6848484848484848,16.0,0.4824242424242424,32.5,0.33151515151515154,42.0,0.2387878787878788,49.0,0.13454545454545455,54.5,0.08242424242424243,57.0,0.47333333333333333,0.4818181818181818,0.49555837563451777,0.3,0.6036363636363636,0.3319919517102616,0.4084848484848485,0.36303030303030304,0.5294579732914375,0.1921212121212121,0.43575757575757573,0.305984555984556,0.22606060606060607,0.19272727272727272,0.5397973950795948,mean_mfe_bps,78.68472056353278
ALL,1m,DAILY_4H_1H,120,8600,75.71758956990257,45.9555641642706,19.47091823821079,92.08199203056822,173.92048873116627,-67.86065667042486,-44.60058799380329,-155.97633840201794,-0.42019058924485136,-2.4008988419244037,0.48069767441860467,54.73139534883721,51.0,33.97351060088287,0.8646511627906976,6.0,0.688953488372093,18.0,0.47093023255813954,35.0,0.31883720930232556,44.0,0.22534883720930232,51.0,0.1291860465116279,62.0,0.07872093023255813,67.0,0.48965116279069765,0.46430232558139534,0.5132862018527548,0.3016279069767442,0.5891860465116279,0.33859809424357135,0.39988372093023256,0.37348837209302327,0.5170651029920312,0.18174418604651163,0.43372093023255814,0.2952956735310788,0.21220930232558138,0.19813953488372094,0.5171436667611221,mean_mfe_bps,75.71758956990257
ALL,5m,DAILY_4H_1H_15M,60,766,66.07196527336953,36.82592608053259,14.661306659401463,73.04544379481025,142.1773976443552,-51.22257876159141,-34.04501390266823,-121.57976771603018,2.3112192084136582,-4.674991404817752,0.45430809399477806,25.886422976501304,22.0,15.186398192298975,0.8237597911227154,4.0,0.6122715404699739,11.0,0.4007832898172324,19.0,0.24151436031331594,23.0,0.16449086161879894,26.0,0.09530026109660575,30.0,0.0639686684073107,31.0,0.45039164490861616,0.42689295039164493,0.5133928571428571,0.28067885117493474,0.52088772845953,0.3501628664495114,0.35117493472584854,0.2741514360313316,0.5615866388308977,0.13446475195822455,0.33159268929503916,0.28851540616246496,0.15926892950391644,0.11618798955613577,0.5781990521327014,mean_mfe_bps,66.07196527336953
ALL,5m,FULL_ALIGNMENT,60,766,66.07196527336953,36.82592608053259,14.661306659401463,73.04544379481025,142.1773976443552,-51.22257876159141,-34.04501390266823,-121.57976771603018,2.3112192084136582,-4.674991404817752,0.45430809399477806,25.886422976501304,22.0,15.186398192298975,0.8237597911227154,4.0,0.6122715404699739,11.0,0.4007832898172324,19.0,0.24151436031331594,23.0,0.16449086161879894,26.0,0.09530026109660575,30.0,0.0639686684073107,31.0,0.45039164490861616,0.42689295039164493,0.5133928571428571,0.28067885117493474,0.52088772845953,0.3501628664495114,0.35117493472584854,0.2741514360313316,0.5615866388308977,0.13446475195822455,0.33159268929503916,0.28851540616246496,0.15926892950391644,0.11618798955613577,0.5781990521327014,mean_mfe_bps,66.07196527336953
ALL,1m,FULL_ALIGNMENT,60,2799,64.13927699199091,37.543561659882926,14.959662381751615,78.78663117818152,147.98239462717567,-50.635979799050546,-33.7186897880537,-115.43120715229716,3.1641687804760736,-2.0868671842799724,0.47874240800285817,27.02750982493748,25.0,40.899598764045145,0.8217220435869954,4.0,0.6237942122186495,11.0,0.40514469453376206,19.5,0.2618792425866381,23.0,0.18756698821007503,28.0,0.09717756341550554,33.0,0.0571632725973562,35.0,0.4715969989281886,0.43229724901750627,0.5217391304347826,0.2779564130046445,0.5462665237584852,0.3372345036844387,0.3579849946409432,0.2890317970703823,0.5532854776366648,0.16148624508753126,0.32833154698106465,0.3296863603209336,0.18220793140407288,0.11825652018578063,0.6064209274673008,mean_mfe_bps,64.13927699199091
ALL,1h,FULL_ALIGNMENT,60,158,61.48578565642376,34.1689437790138,14.667053361080429,77.50399693452592,141.82147575845312,-43.32833134181316,-34.03816870729326,-84.4187642386871,14.681804121486657,-1.244954545410737,0.4873417721518987,25.670886075949365,24.5,15.042494094515245,0.8291139240506329,5.0,0.6075949367088608,9.0,0.3670886075949367,17.0,0.2848101265822785,24.0,0.17721518987341772,26.5,0.0949367088607595,32.0,0.056962025316455694,38.0,0.47468354430379744,0.4240506329113924,0.528169014084507,0.24050632911392406,0.5632911392405063,0.2992125984251969,0.3291139240506329,0.2721518987341772,0.5473684210526316,0.1518987341772152,0.3037974683544304,0.3333333333333333,0.17721518987341772,0.0759493670886076,0.7,mean_mfe_bps,61.48578565642376
ALL,1h,DAILY_4H_1H_15M,60,162,60.460207958357586,32.79915738045092,13.360367560120157,77.27414004546796,139.1513492254271,-42.76292054907816,-33.805367277717764,-82.18097872628549,14.439489005964482,-0.39377353175440444,0.49382716049382713,25.617283950617285,24.5,14.795736787115926,0.8209876543209876,5.0,0.6049382716049383,9.0,0.35802469135802467,17.0,0.2777777777777778,24.0,0.1728395061728395,26.5,0.09259259259259259,32.0,0.05555555555555555,38.0,0.47530864197530864,0.41975308641975306,0.5310344827586206,0.2345679012345679,0.5555555555555556,0.296875,0.32098765432098764,0.2716049382716049,0.5416666666666666,0.14814814814814814,0.30246913580246915,0.3287671232876712,0.1728395061728395,0.07407407407407407,0.7,mean_mfe_bps,60.460207958357586
ALL,1h,DAILY_4H,60,168,59.846657719509324,31.650376268438364,12.880249294736078,77.40609917351927,133.75291766880025,-43.007688600580046,-33.39516376912488,-90.14422050618366,13.351157349632826,-1.244954545410737,0.4880952380952381,25.791666666666668,25.5,14.49609560034951,0.8154761904761905,5.0,0.6011904761904762,9.0,0.35714285714285715,17.0,0.27976190476190477,25.0,0.17857142857142858,28.0,0.08928571428571429,32.0,0.05357142857142857,38.0,0.47023809523809523,0.42857142857142855,0.5231788079470199,0.23809523809523808,0.5595238095238095,0.29850746268656714,0.32142857142857145,0.27380952380952384,0.54,0.15476190476190477,0.30357142857142855,0.33766233766233766,0.17857142857142858,0.07738095238095238,0.6976744186046512,mean_mfe_bps,59.846657719509324
