symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,mean_mfe_mae_ratio,target_10bps_hit_rate,target_10bps_median_hit_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_75bps_hit_rate,target_75bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,target_150bps_hit_rate,target_150bps_median_hit_minutes,target_200bps_hit_rate,target_200bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_target_win_rate
ALL,15m,DAILY_4H,60,904,51.60553685146265,32.99054595527484,11.749518556587457,67.10634146343929,121.31079457675736,-46.611987962149165,-30.964267228315578,-112.76368022883874,-3.1163088015021767,-5.241948345256486,0.4502212389380531,25.759955752212388,22.0,16.50312139344396,0.7842920353982301,4.0,0.5707964601769911,10.0,0.3495575221238938,17.0,0.21902654867256638,22.0,0.14601769911504425,26.0,0.07300884955752213,30.0,0.03650442477876106,32.0,0.4269911504424779,0.42035398230088494,0.5039164490861618,0.24225663716814158,0.5077433628318584,0.3230088495575221,0.31305309734513276,0.25663716814159293,0.5495145631067961,0.13274336283185842,0.2942477876106195,0.31088082901554404,0.14380530973451328,0.10398230088495575,0.5803571428571429
ALL,15m,DAILY_4H_1H,60,446,58.49776161828783,39.58463780099341,12.996980625151199,78.25939148069283,130.80431388892254,-52.51622110258153,-32.212217869085904,-123.67641885110802,-5.341213454895342,-6.88490169675593,0.4484304932735426,24.80269058295964,22.0,15.526665790298122,0.8094170403587444,3.0,0.6345291479820628,8.0,0.4013452914798206,16.0,0.2645739910313901,19.5,0.1681614349775785,26.0,0.08520179372197309,30.0,0.04484304932735426,31.5,0.47757847533632286,0.40358744394618834,0.5419847328244275,0.27802690582959644,0.5089686098654709,0.35327635327635326,0.35874439461883406,0.2937219730941704,0.5498281786941581,0.15246636771300448,0.34977578475336324,0.30357142857142855,0.16591928251121077,0.14349775784753363,0.5362318840579711
ALL,15m,DAILY_4H_1H_15M,60,446,58.49776161828783,39.58463780099341,12.996980625151199,78.25939148069283,130.80431388892254,-52.51622110258153,-32.212217869085904,-123.67641885110802,-5.341213454895342,-6.88490169675593,0.4484304932735426,24.80269058295964,22.0,15.526665790298122,0.8094170403587444,3.0,0.6345291479820628,8.0,0.4013452914798206,16.0,0.2645739910313901,19.5,0.1681614349775785,26.0,0.08520179372197309,30.0,0.04484304932735426,31.5,0.47757847533632286,0.40358744394618834,0.5419847328244275,0.27802690582959644,0.5089686098654709,0.35327635327635326,0.35874439461883406,0.2937219730941704,0.5498281786941581,0.15246636771300448,0.34977578475336324,0.30357142857142855,0.16591928251121077,0.14349775784753363,0.5362318840579711
ALL,15m,DAILY_ONLY,60,1633,49.10982733023222,30.967329467412874,11.725715092201217,63.23907455012767,114.89096495128014,-44.16642991493629,-29.12347047445141,-104.15029675754138,-0.8286351191110167,-2.8141378554402685,0.4684629516227802,25.925903245560317,23.0,26.69899330089964,0.7819963257807716,4.0,0.5676668707899571,11.0,0.33006736068585424,19.0,0.19779546846295162,23.0,0.12614819350887937,28.5,0.062461726883037354,32.5,0.030006123698714023,33.0,0.4396815676668708,0.4164115125535824,0.5135908440629471,0.23637477036129823,0.5076546233925291,0.3176954732510288,0.30067360685854255,0.25107164727495407,0.5449500554938956,0.11512553582363748,0.28046540110226575,0.29102167182662536,0.12308634415186773,0.09920391916717697,0.5537190082644629
ALL,15m,FULL_ALIGNMENT,60,422,59.238386317653095,39.66398931258274,12.996980625151199,78.73761987524097,134.43318538638354,-52.80198338073407,-32.65966800437836,-123.41774446992792,-5.016174146843479,-7.438880971926132,0.44075829383886256,24.827014218009477,22.0,14.539099462868133,0.8104265402843602,3.0,0.6303317535545023,8.0,0.4075829383886256,16.0,0.27014218009478674,19.5,0.17298578199052134,26.0,0.08767772511848342,30.0,0.04739336492890995,31.5,0.46919431279620855,0.4099526066350711,0.5336927223719676,0.2796208530805687,0.5165876777251185,0.35119047619047616,0.36255924170616116,0.2938388625592417,0.5523465703971119,0.15639810426540285,0.35308056872037913,0.30697674418604654,0.17061611374407584,0.14691943127962084,0.5373134328358209
ALL,15m,DAILY_4H,120,904,72.62739515787868,44.222392206109134,16.14842248451154,96.81213389865162,175.53440445318284,-67.04233702611431,-45.392771413231834,-150.8264434465637,1.5552076203449374,-6.219133524316689,0.44579646017699115,52.23119469026549,43.0,6.502146972693441,0.8396017699115044,5.0,0.661504424778761,13.0,0.4657079646017699,29.0,0.3307522123893805,39.0,0.24446902654867256,48.0,0.13716814159292035,57.5,0.07411504424778761,61.0,0.4657079646017699,0.46349557522123896,0.5011904761904762,0.29646017699115046,0.577433628318584,0.3392405063291139,0.39601769911504425,0.36172566371681414,0.5226277372262774,0.19800884955752213,0.4314159292035398,0.3145869947275923,0.2323008849557522,0.18805309734513273,0.5526315789473685
ALL,15m,DAILY_4H_1H,120,446,82.11158938697754,54.90638929858905,18.80933347150282,109.57721047423318,196.95809215493853,-73.85554517495133,-53.412631628358966,-162.29711914099443,2.6137877325130394,-7.816708964863417,0.4484304932735426,52.17488789237668,42.0,8.658118250510753,0.8587443946188341,4.0,0.7130044843049327,10.0,0.5291479820627802,26.0,0.38565022421524664,32.5,0.2757847533632287,44.0,0.16367713004484305,58.0,0.09192825112107623,61.0,0.5134529147982063,0.4327354260089686,0.542654028436019,0.3430493273542601,0.5582959641255605,0.3805970149253731,0.45067264573991034,0.37668161434977576,0.5447154471544715,0.2242152466367713,0.47085201793721976,0.3225806451612903,0.2623318385650224,0.2242152466367713,0.5391705069124424
ALL,15m,DAILY_4H_1H_15M,120,446,82.11158938697754,54.90638929858905,18.80933347150282,109.57721047423318,196.95809215493853,-73.85554517495133,-53.412631628358966,-162.29711914099443,2.6137877325130394,-7.816708964863417,0.4484304932735426,52.17488789237668,42.0,8.658118250510753,0.8587443946188341,4.0,0.7130044843049327,10.0,0.5291479820627802,26.0,0.38565022421524664,32.5,0.2757847533632287,44.0,0.16367713004484305,58.0,0.09192825112107623,61.0,0.5134529147982063,0.4327354260089686,0.542654028436019,0.3430493273542601,0.5582959641255605,0.3805970149253731,0.45067264573991034,0.37668161434977576,0.5447154471544715,0.2242152466367713,0.47085201793721976,0.3225806451612903,0.2623318385650224,0.2242152466367713,0.5391705069124424
ALL,15m,DAILY_ONLY,120,1633,68.90129322808309,43.29994607931154,16.524183831545525,89.29634480295378,162.73673823041523,-63.723112783696,-42.80718678403406,-145.42402733388758,1.0001614954236797,-3.823245331616709,0.46540110226576853,52.15003061849357,46.0,24.492930477708484,0.8401714635639926,5.0,0.6619718309859155,16.0,0.451316595223515,32.0,0.30985915492957744,41.0,0.22106552357624004,50.0,0.1200244947948561,58.5,0.06429883649724434,66.0,0.4782608695652174,0.4580526638089406,0.5107913669064749,0.29393753827311697,0.5793018983466014,0.33660589060308554,0.39069197795468463,0.3533374157991427,0.5251028806584362,0.18187385180649113,0.41334966319657074,0.3055555555555556,0.2106552357624005,0.1745254133496632,0.5468998410174881
ALL,15m,FULL_ALIGNMENT,120,422,83.53261884267553,54.90638929858905,18.24278522476408,110.53367860957397,198.6581227159934,-74.05236473334243,-54.346634408297675,-159.7203098283002,3.922541655764018,-8.672582878881396,0.4431279620853081,52.208530805687204,42.5,7.268231585079693,0.8601895734597157,4.0,0.7109004739336493,10.0,0.5284360189573459,26.0,0.3933649289099526,32.5,0.2843601895734597,45.0,0.16824644549763032,58.0,0.0971563981042654,61.0,0.504739336492891,0.44075829383886256,0.5338345864661654,0.33649289099526064,0.566350710900474,0.37270341207349084,0.44786729857819907,0.3815165876777251,0.54,0.22985781990521326,0.4786729857819905,0.32441471571906355,0.27014218009478674,0.22274881516587677,0.5480769230769231
