side,horizon_minutes,feature_group,head,symbol,folds,threshold_mean,threshold_std,threshold_min,threshold_max,threshold_range,fallback_rate,symbol_specific_rate,test_precision_mean,test_precision_std,test_coverage_mean,stable_threshold
LONG,30,position_plus_topology,hold,SOLUSDT,3,0.40833333333333344,0.011785113019775804,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.0,1.0,0.48063609573165694,0.005225036329903532,0.18722961914451275,True
LONG,30,position_plus_topology_compact_matrix,exit,ALL,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.3333333333333333,0.0,0.4018611240236167,0.019700203871335593,0.39585152838427945,False
LONG,30,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.4250000000000001,0.02041241452319317,0.4000000000000001,0.4500000000000001,0.050000000000000044,0.3333333333333333,1.0,0.36392381560263415,0.025500499508008492,0.22012356054909246,True
LONG,30,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.4214885796562482,0.0301735601980444,0.3713429692153096,False
LONG,30,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.3666666666666667,0.04714045207910321,0.3,0.4000000000000001,0.10000000000000009,0.3333333333333333,1.0,0.4066923581378185,0.028017910979296616,0.6065817640285726,True
LONG,30,position_plus_topology_compact_matrix,hold,ALL,3,0.40833333333333344,0.011785113019775802,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.0,0.0,0.46096016162239556,0.02175366073442035,0.1576419213973799,True
LONG,30,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.4250000000000001,0.02041241452319317,0.4000000000000001,0.4500000000000001,0.050000000000000044,0.0,1.0,0.43646264863441714,0.054567106245612305,0.08125404082850891,True
LONG,30,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,0.46581315705638743,0.018394956927663023,0.18347427921896006,True
LONG,30,position_plus_topology_compact_matrix,hold,SOLUSDT,3,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,0.0,0.0,1.0,0.45332059890427084,0.0100937859649652,0.24748471131449853,True
LONG,60,position_plus_topology,exit,ALL,3,0.35000000000000003,0.07071067811865482,0.3,0.4500000000000001,0.15000000000000013,0.0,0.0,0.45970329640517843,0.026693516714547737,0.6692489543553374,False
LONG,60,position_plus_topology,exit,BTCUSDT,3,0.3666666666666667,0.05137011669140818,0.3,0.4250000000000001,0.1250000000000001,0.3333333333333333,1.0,0.430955754524003,0.014851391915761177,0.7489907255864702,False
LONG,60,position_plus_topology,exit,ETHUSDT,3,0.3583333333333334,0.05137011669140818,0.3,0.4250000000000001,0.1250000000000001,0.0,1.0,0.452912232445499,0.015340030189240437,0.8640480087288598,False
LONG,60,position_plus_topology,exit,SOLUSDT,3,0.3583333333333334,0.05137011669140818,0.3,0.4250000000000001,0.1250000000000001,0.0,1.0,0.4527109231540538,0.009396076756040119,0.9187124931805783,False
LONG,60,position_plus_topology,hold,ALL,3,0.35000000000000003,0.07071067811865482,0.3,0.4500000000000001,0.15000000000000013,0.0,0.0,0.46364316194509114,0.015950401108232162,0.7319148936170213,False
LONG,60,position_plus_topology,hold,BTCUSDT,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.46643385421366085,0.04144985862671938,0.5374249863611565,False
LONG,60,position_plus_topology,hold,ETHUSDT,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.48425319087731555,0.01698207470789677,0.5502454991816693,False
LONG,60,position_plus_topology,hold,SOLUSDT,3,0.3,0.0,0.3,0.3,0.0,0.0,1.0,0.4694489907255865,0.009551086415718273,1.0,True
LONG,60,position_plus_topology_compact_matrix,exit,ALL,3,0.35000000000000003,0.07071067811865482,0.3,0.4500000000000001,0.15000000000000013,0.0,0.0,0.45467704713251605,0.02258235216211542,0.7421713038734316,False
LONG,60,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.3666666666666667,0.06236095644623241,0.3,0.4500000000000001,0.15000000000000013,0.0,1.0,0.4480171836251654,0.03469326032055279,0.7004909983633388,False
LONG,60,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.325,0.03535533905932741,0.3,0.37500000000000006,0.07500000000000007,0.0,1.0,0.4443566843249452,0.012898841308098888,0.9129296235679214,True
LONG,60,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.3333333333333333,0.04714045207910321,0.3,0.4000000000000001,0.10000000000000009,0.0,1.0,0.4480467699495773,0.013595142288156774,0.9528641571194761,True
LONG,60,position_plus_topology_compact_matrix,hold,ALL,3,0.3333333333333333,0.04714045207910321,0.3,0.4000000000000001,0.10000000000000009,0.0,0.0,0.46048720051763,0.009567186898872709,0.9328423349699945,True
LONG,60,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.3916666666666668,0.06561673228343182,0.3,0.4500000000000001,0.15000000000000013,0.3333333333333333,1.0,0.4592559622438397,0.033593637958114334,0.79012547735952,False
LONG,60,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.37500000000000006,0.061237243569579505,0.3,0.4500000000000001,0.15000000000000013,0.3333333333333333,1.0,0.4743597043293744,0.012774234814889663,0.8379705400981997,False
LONG,60,position_plus_topology_compact_matrix,hold,SOLUSDT,3,0.30833333333333335,0.011785113019775802,0.3,0.325,0.025000000000000022,0.0,1.0,0.4688581721798421,0.009014116282592159,0.9906164757228586,True
SHORT,15,position_plus_topology,exit,ALL,3,0.40833333333333344,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.3333333333333333,0.0,0.37618651105375384,0.06928300952599215,0.10295129458627557,True
SHORT,15,position_plus_topology,exit,BTCUSDT,3,0.3916666666666668,0.042491829279939906,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.3333333333333333,1.0,0.33793170728011157,0.06197660417764075,0.1761750890340359,True
SHORT,15,position_plus_topology,exit,ETHUSDT,3,0.4250000000000001,0.05400617248673224,0.37500000000000006,0.5000000000000002,0.12500000000000017,0.3333333333333333,1.0,0.4393512286324786,0.02536544718980395,0.16629188562849265,False
SHORT,15,position_plus_topology,exit,SOLUSDT,3,0.3666666666666667,0.011785113019775804,0.35000000000000003,0.37500000000000006,0.025000000000000022,0.3333333333333333,1.0,0.41815933137699696,0.01917223548696348,0.3688969480806747,True
SHORT,15,position_plus_topology,hold,ALL,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,0.0,0.3817315411432993,0.014255295813241224,0.21611443056309979,True
SHORT,15,position_plus_topology,hold,BTCUSDT,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.3333333333333333,1.0,0.35803835252969907,0.0296529180811894,0.10970443089956344,True
SHORT,15,position_plus_topology,hold,ETHUSDT,3,0.3916666666666668,0.031180478223116207,0.35000000000000003,0.4250000000000001,0.07500000000000007,0.0,1.0,0.3872052694123164,0.03868903222574226,0.27731123144875697,True
SHORT,15,position_plus_topology,hold,SOLUSDT,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.3333333333333333,1.0,0.398525756098941,0.025079853917495315,0.324731078476138,True
SHORT,15,position_plus_topology_compact_matrix,exit,ALL,3,0.3916666666666668,0.04249182927993991,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.0,0.0,0.4314247121179029,0.031014770027157804,0.15353974289335506,True
SHORT,15,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.37500000000000006,0.0,0.37500000000000006,0.37500000000000006,0.0,0.3333333333333333,1.0,0.3416069237717864,0.04799733307610154,0.17882654355884672,True
SHORT,15,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.4333333333333335,0.062360956446232435,0.35000000000000003,0.5000000000000002,0.1500000000000002,0.0,1.0,0.49193450472768174,0.08059845687655302,0.1030854848075136,False
