side,horizon_minutes,feature_group,head,fold,symbol,calibration_method,train_rows,calibration_rows,test_rows,raw_test_roc_auc,raw_test_pr_auc,raw_test_brier,calibrated_test_roc_auc,calibrated_test_pr_auc,calibrated_test_brier,threshold,test_alerts,test_coverage,test_precision,test_recall,test_positive_rate,precision_lift_vs_base,calibration_candidates
SHORT,15,position_plus_topology_compact_matrix,hold,1,ETHUSDT,isotonic,45862,3010,3095,0.5853434400149728,0.40691303232967724,0.24697526106877357,0.5811592270260154,0.3908676828199221,0.22686681777812306,0.4000000000000001,1830,0.5912762520193862,0.3912568306010929,0.6884615384615385,0.3360258481421648,1.1643652795292139,"[{""method"": ""raw"", ""brier"": 0.24316728398238333, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23138508739168892, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22923572215122762, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,1,SOLUSDT,isotonic,45862,2990,3045,0.4992467592592593,0.37152986976048236,0.26230018733662797,0.508932175925926,0.37618975664869764,0.2390330110078336,0.4250000000000001,1164,0.38226600985221676,0.3788659793814433,0.392,0.3694581280788177,1.0254639175257731,"[{""method"": ""raw"", ""brier"": 0.24316728398238333, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23138508739168892, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22923572215122762, ""selected"": true}]"
SHORT,15,position_plus_topology,exit,2,ALL,isotonic,55072,9100,9205,0.5669142106114105,0.40090109414081154,0.24814397999171675,0.5670753167098682,0.3961493733820728,0.22380444956842221,0.4000000000000001,1500,0.16295491580662683,0.454,0.21381475667189953,0.34600760456273766,1.31210989010989,"[{""method"": ""raw"", ""brier"": 0.24745426439317, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22477237011331533, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22267344621298868, ""selected"": true}]"
SHORT,15,position_plus_topology,exit,2,BTCUSDT,isotonic,55072,3030,3100,0.5713207828518173,0.3377038734192084,0.2455871249533362,0.5685805529667599,0.3340765687007814,0.21108158730732934,0.37500000000000006,705,0.22741935483870968,0.35319148936170214,0.2691891891891892,0.29838709677419356,1.183668775158137,"[{""method"": ""raw"", ""brier"": 0.24745426439317, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22477237011331533, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22267344621298868, ""selected"": true}]"
SHORT,15,position_plus_topology,exit,2,ETHUSDT,isotonic,55072,3055,3050,0.5583963376893342,0.4290249429709676,0.2468760060064525,0.5598140816779361,0.4203387114448324,0.22691394534637163,0.5000000000000002,125,0.040983606557377046,0.472,0.053881278538812784,0.3590163934426229,1.314703196347032,"[{""method"": ""raw"", ""brier"": 0.24745426439317, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22477237011331533, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22267344621298868, ""selected"": true}]"
SHORT,15,position_plus_topology,exit,2,SOLUSDT,isotonic,55072,3015,3055,0.5582805368213093,0.436454244175418,0.2520043961206973,0.5588482412516748,0.4274813724983806,0.23361031237910707,0.37500000000000006,1268,0.41505728314238954,0.44242902208201895,0.4815450643776824,0.381342062193126,1.1601894098373975,"[{""method"": ""raw"", ""brier"": 0.24745426439317, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22477237011331533, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22267344621298868, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,2,ALL,isotonic,55072,9100,9205,0.5706242883589592,0.38882505234629494,0.2495461942734417,0.5656729009770748,0.3700662703298478,0.21759408561977087,0.4250000000000001,302,0.03280825638240087,0.39072847682119205,0.03913764510779436,0.32753938077131994,1.192920606679626,"[{""method"": ""raw"", ""brier"": 0.24896627722128858, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219080419830453, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21946037114500408, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,2,BTCUSDT,isotonic,55072,3030,3100,0.5391738329238329,0.30311460588409767,0.2453791606318607,0.5211724508599509,0.2967245190922766,0.2059894995150817,0.37500000000000006,412,0.1329032258064516,0.32038834951456313,0.15,0.2838709677419355,1.1286407766990292,"[{""method"": ""raw"", ""brier"": 0.24896627722128858, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219080419830453, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21946037114500408, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,2,ETHUSDT,isotonic,55072,3055,3050,0.5956147096519767,0.41562156692669405,0.2483562509877246,0.5900707384403037,0.3919925639330548,0.21294052115859433,0.4250000000000001,145,0.047540983606557376,0.4413793103448276,0.0653061224489796,0.32131147540983607,1.3736805066854327,"[{""method"": ""raw"", ""brier"": 0.24896627722128858, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219080419830453, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21946037114500408, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,2,SOLUSDT,isotonic,55072,3015,3055,0.536436318067897,0.4310931317376492,0.25496260386766056,0.5374344953292322,0.40067256547367797,0.23401555486072825,0.4250000000000001,54,0.0176759410801964,0.4074074074074074,0.01904761904761905,0.3780687397708674,1.0776014109347443,"[{""method"": ""raw"", ""brier"": 0.24896627722128858, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219080419830453, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21946037114500408, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,2,ALL,isotonic,55072,9100,9205,0.5659939135378148,0.4022683894804408,0.24832288099751781,0.5662152323234431,0.39225366853094634,0.22360590806547653,0.37500000000000006,2363,0.25670831070070615,0.4240372407955988,0.31459968602825744,0.34600760456273766,1.225514223398269,"[{""method"": ""raw"", ""brier"": 0.247368011190365, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2244047127874918, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2216195365481788, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,2,BTCUSDT,isotonic,55072,3030,3100,0.5671763901832867,0.3407522837763528,0.24605831694285135,0.5604781609195403,0.3277631410081387,0.2107077339888959,0.37500000000000006,601,0.1938709677419355,0.33277870216306155,0.21621621621621623,0.29838709677419356,1.1152583531951252,"[{""method"": ""raw"", ""brier"": 0.247368011190365, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2244047127874918, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2216195365481788, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,2,ETHUSDT,isotonic,55072,3055,3050,0.5612332270609256,0.4312793427464166,0.24687489815079983,0.5696189375094888,0.41787690590946736,0.2260525827840749,0.4500000000000001,429,0.14065573770491804,0.48951048951048953,0.1917808219178082,0.3590163934426229,1.3634767059424595,"[{""method"": ""raw"", ""brier"": 0.247368011190365, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2244047127874918, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2216195365481788, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,2,SOLUSDT,isotonic,55072,3015,3055,0.5546470013851988,0.4321933387078868,0.2520664149588782,0.5517008424733747,0.42357766236823,0.23425140127191665,0.35000000000000003,1755,0.574468085106383,0.40854700854700854,0.615450643776824,0.381342062193126,1.0713400095374346,"[{""method"": ""raw"", ""brier"": 0.247368011190365, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2244047127874918, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2216195365481788, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,2,ALL,isotonic,55072,9100,9205,0.5734479460532556,0.38536395733676576,0.24846149434660408,0.5671349499138664,0.3673483144191238,0.21768817906664695,0.4000000000000001,118,0.012819120043454644,0.4491525423728814,0.017578772802653398,0.32753938077131994,1.371293251257835,"[{""method"": ""raw"", ""brier"": 0.24910366798110117, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219618903230443, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2190809651057719, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,2,BTCUSDT,isotonic,55072,3030,3100,0.5544441031941032,0.31552579449279816,0.24138902635819293,0.5456846334971336,0.31154194288675996,0.2036593027514248,0.4000000000000001,46,0.014838709677419355,0.30434782608695654,0.015909090909090907,0.2838709677419355,1.0721343873517788,"[{""method"": ""raw"", ""brier"": 0.24910366798110117, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219618903230443, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2190809651057719, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,2,ETHUSDT,isotonic,55072,3055,3050,0.5998397909888593,0.4075649379047545,0.24732971738264256,0.5999070787735384,0.3849198092047069,0.2134360983596566,0.4000000000000001,67,0.021967213114754098,0.5074626865671642,0.03469387755102041,0.32131147540983607,1.5793481571733172,"[{""method"": ""raw"", ""brier"": 0.24910366798110117, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219618903230443, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2190809651057719, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,2,SOLUSDT,isotonic,55072,3015,3055,0.5231428571428571,0.42880716837393823,0.2567680640697324,0.5095880610617451,0.38751927469231084,0.23616882153260743,0.37500000000000006,1875,0.613747954173486,0.3834666666666667,0.6225108225108225,0.3780687397708674,1.0142776334776336,"[{""method"": ""raw"", ""brier"": 0.24910366798110117, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2219618903230443, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2190809651057719, ""selected"": true}]"
SHORT,15,position_plus_topology,exit,3,ALL,isotonic,64292,9070,9205,0.5862867082662944,0.36952850632819123,0.23924471507074385,0.585004213877704,0.34730115323289107,0.20491604526308885,0.37500000000000006,1273,0.1382944052145573,0.38884524744697563,0.18232044198895028,0.2949483976099946,1.3183500930937055,"[{""method"": ""raw"", ""brier"": 0.24764497006176894, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22172101356231916, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21990779181794648, ""selected"": true}]"
