side,horizon_minutes,feature_group,head,fold,symbol,calibration_method,threshold,threshold_source,fallback,calibration_precision,calibration_coverage,calibration_alerts
LONG,60,position_plus_topology,hold,2,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.47539936102236424,0.5190713101160862,3130
LONG,60,position_plus_topology,hold,2,SOLUSDT,isotonic,0.3,symbol_specific,False,0.47717842323651455,1.0,6025
LONG,60,position_plus_topology_compact_matrix,exit,2,ALL,isotonic,0.3,global,False,0.4550821498189919,0.9928117224218966,17955
LONG,60,position_plus_topology_compact_matrix,exit,2,BTCUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.4591893392559689,0.8960199004975125,5403
LONG,60,position_plus_topology_compact_matrix,exit,2,ETHUSDT,isotonic,0.3,symbol_specific,False,0.4620793571069814,0.9905472636815921,5973
LONG,60,position_plus_topology_compact_matrix,exit,2,SOLUSDT,isotonic,0.3,symbol_specific,False,0.4597510373443983,1.0,6025
LONG,60,position_plus_topology_compact_matrix,hold,2,ALL,isotonic,0.3,global,False,0.4561562925942753,0.9736245507326514,17608
LONG,60,position_plus_topology_compact_matrix,hold,2,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.4531511433351924,0.59469320066335,3586
LONG,60,position_plus_topology_compact_matrix,hold,2,ETHUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4569782568295856,0.8923714759535655,5381
LONG,60,position_plus_topology_compact_matrix,hold,2,SOLUSDT,isotonic,0.3,symbol_specific,False,0.47794490451242183,0.9820746887966805,5917
LONG,60,position_plus_topology,exit,3,ALL,isotonic,0.4500000000000001,global,False,0.48760330578512395,0.0602156483273431,1089
LONG,60,position_plus_topology,exit,3,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,True,0.4231088944305902,0.5985074626865672,3609
LONG,60,position_plus_topology,exit,3,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.4523432193796695,0.7325041459369818,4417
LONG,60,position_plus_topology,exit,3,SOLUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.45165505226480834,0.7621576763485477,4592
LONG,60,position_plus_topology,hold,3,ALL,isotonic,0.3,global,False,0.4688883968113375,0.9988388166989217,18064
LONG,60,position_plus_topology,hold,3,BTCUSDT,isotonic,0.3,symbol_specific,False,0.45069017129552635,0.9971807628524046,6013
LONG,60,position_plus_topology,hold,3,ETHUSDT,isotonic,0.3,symbol_specific,False,0.4746100232326585,0.9993366500829187,6026
LONG,60,position_plus_topology,hold,3,SOLUSDT,isotonic,0.3,symbol_specific,False,0.48132780082987553,1.0,6025
LONG,60,position_plus_topology_compact_matrix,exit,3,ALL,isotonic,0.4500000000000001,global,False,0.4808224594701463,0.27967929223113075,5058
LONG,60,position_plus_topology_compact_matrix,exit,3,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.4582763337893297,0.24245439469320065,1462
LONG,60,position_plus_topology_compact_matrix,exit,3,ETHUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4506743737957611,0.8606965174129353,5190
LONG,60,position_plus_topology_compact_matrix,exit,3,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4552572706935123,0.8902904564315353,5364
LONG,60,position_plus_topology_compact_matrix,hold,3,ALL,isotonic,0.3,global,False,0.47761366927309584,0.9546585568150401,17265
LONG,60,position_plus_topology_compact_matrix,hold,3,BTCUSDT,isotonic,0.3,symbol_specific,False,0.4707586456635886,0.9159203980099503,5523
LONG,60,position_plus_topology_compact_matrix,hold,3,ETHUSDT,isotonic,0.3,symbol_specific,False,0.4807759524641734,0.9489220563847429,5722
LONG,60,position_plus_topology_compact_matrix,hold,3,SOLUSDT,isotonic,0.325,symbol_specific,False,0.4811367791258102,0.9986721991701245,6017
SHORT,15,position_plus_topology,exit,1,ALL,isotonic,0.4500000000000001,global,True,0.4838709677419355,0.006824435883324161,62
SHORT,15,position_plus_topology,exit,1,BTCUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.45757864632983797,0.340032414910859,1049
SHORT,15,position_plus_topology,exit,1,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,True,0.42136752136752137,0.38870431893687707,1170
SHORT,15,position_plus_topology,exit,1,SOLUSDT,isotonic,0.35000000000000003,symbol_specific,True,0.42375168690958165,0.4956521739130435,1482
SHORT,15,position_plus_topology,hold,1,ALL,isotonic,0.37500000000000006,global,False,0.45814634146341465,0.5641166758392956,5125
SHORT,15,position_plus_topology,hold,1,BTCUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.5190217391304348,0.2385737439222042,736
SHORT,15,position_plus_topology,hold,1,ETHUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.4530758868432869,0.7398671096345515,2227
SHORT,15,position_plus_topology,hold,1,SOLUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.45652173913043476,0.7692307692307693,2300
SHORT,15,position_plus_topology_compact_matrix,exit,1,ALL,isotonic,0.4500000000000001,global,False,0.49295774647887325,0.05470555861309851,497
SHORT,15,position_plus_topology_compact_matrix,exit,1,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.45499021526418787,0.3312803889789303,1022
SHORT,15,position_plus_topology_compact_matrix,exit,1,ETHUSDT,isotonic,0.5000000000000002,symbol_specific,False,0.4878048780487805,0.02724252491694352,82
SHORT,15,position_plus_topology_compact_matrix,exit,1,SOLUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.5151515151515151,0.07725752508361204,231
SHORT,15,position_plus_topology_compact_matrix,hold,1,ALL,isotonic,0.4000000000000001,global,False,0.454265531606593,0.607705008255366,5521
SHORT,15,position_plus_topology_compact_matrix,hold,1,BTCUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.45540460720614295,0.5487844408427877,1693
SHORT,15,position_plus_topology_compact_matrix,hold,1,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.45132275132275135,0.627906976744186,1890
SHORT,15,position_plus_topology_compact_matrix,hold,1,SOLUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.5209125475285171,0.35183946488294315,1052
SHORT,15,position_plus_topology,exit,2,ALL,isotonic,0.4000000000000001,global,False,0.48294762484774667,0.18043956043956044,1642
SHORT,15,position_plus_topology,exit,2,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4559023066485753,0.24323432343234325,737
SHORT,15,position_plus_topology,exit,2,ETHUSDT,isotonic,0.5000000000000002,symbol_specific,False,0.45614035087719296,0.05597381342062193,171
SHORT,15,position_plus_topology,exit,2,SOLUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.47447698744769873,0.3963515754560531,1195
SHORT,15,position_plus_topology,hold,2,ALL,isotonic,0.4250000000000001,global,False,0.5063938618925832,0.04296703296703297,391
SHORT,15,position_plus_topology,hold,2,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.46551724137931033,0.11485148514851486,348
SHORT,15,position_plus_topology,hold,2,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.504950495049505,0.06612111292962357,202
SHORT,15,position_plus_topology,hold,2,SOLUSDT,isotonic,0.4250000000000001,symbol_specific,True,0.4339622641509434,0.035157545605306796,106
SHORT,15,position_plus_topology_compact_matrix,exit,2,ALL,isotonic,0.37500000000000006,global,False,0.4701461377870564,0.2631868131868132,2395
SHORT,15,position_plus_topology_compact_matrix,exit,2,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.46855345911949686,0.2099009900990099,636
SHORT,15,position_plus_topology_compact_matrix,exit,2,ETHUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.46923076923076923,0.1702127659574468,520
SHORT,15,position_plus_topology_compact_matrix,exit,2,SOLUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.45570353213665316,0.5728026533996683,1727
SHORT,15,position_plus_topology_compact_matrix,hold,2,ALL,isotonic,0.4000000000000001,global,False,0.6203208556149733,0.020549450549450548,187
SHORT,15,position_plus_topology_compact_matrix,hold,2,BTCUSDT,isotonic,0.4000000000000001,symbol_specific,True,0.6727272727272727,0.018151815181518153,55
SHORT,15,position_plus_topology_compact_matrix,hold,2,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.6530612244897959,0.032078559738134206,98
SHORT,15,position_plus_topology_compact_matrix,hold,2,SOLUSDT,isotonic,0.37500000000000006,symbol_specific,True,0.4030067895247333,0.6839137645107795,2062
SHORT,15,position_plus_topology,exit,3,ALL,isotonic,0.37500000000000006,global,False,0.45977653631284915,0.19735391400220506,1790
